FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
32771,BC-1965-1965-C00142,BC, ,1965-C00142, ,52.318,-123.981,1965,5,26,1965-05-26 00:00:00,,,0.8,H,H,Fire, , , , , , ,2020-05-05 00:00:00
38279,BC-1963-1963-K00702,BC, ,1963-K00702, ,51.347,-120.138,1963,8,14,1963-08-14 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00
322392,NL-1985-164,NL, ,1985-164, ,47.48,-52.9,1985,6,28,1985-06-28 00:00:00,,,0.0,H,H, , , , , ,merged with orig src, ,2018-03-15 00:00:00
169803,AB-1991-DP3-020-91,AB, ,DP3-020-91,DP3020,57.7606,-119.5957,1991,6,25,1991-06-25 00:00:00,,1991-06-25 00:00:00,0.1,N,N,Ground, , , , , , ,2020-06-01 00:00:00
44732,BC-1968-1968-K00140,BC, ,1968-K00140, ,49.463,-120.51,1968,5,30,1968-05-30 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00
313780,QC-2005-528,QC, ,2005-528, ,46.23142,-76.00793,2005,7,1,2005-07-01 00:00:00,,2005-07-04 00:00:00,0.0,N,N, , ,Intensive, , , , ,2018-05-18 00:00:00
189115,AB-2006-HWF106,AB, ,HWF106, ,58.481,-114.5234,2006,6,15,2006-06-15 00:00:00,,2006-06-19 00:00:00,0.01,H,H,Surface, , , ,fueltype:, , ,2020-06-01 00:00:00
279527,QC-1974-2015,QC, ,1974-2015, ,46.24041,-70.43889,1974,5,31,1974-05-31 00:00:00,,1974-05-31 00:00:00,0.8,H,H, , ,Intensive, , , , ,2018-05-18 00:00:00
205184,AB-2018-MWF089,AB, ,MWF089, ,57.3957,-111.101167,2018,8,4,2018-08-04 00:00:00,,2018-08-04 00:00:00,0.01,H,H,Surface, , , ,fueltype: O1a, , ,2020-06-01 00:00:00
68028,BC-1976-1976-C30015,BC, ,1976-C30015, ,52.162,-122.014,1976,5,4,1976-05-04 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00
171389,AB-1992-DW3-026-92,AB, ,DW3-026-92,DW3026,54.1266,-115.8689,1992,8,18,1992-08-18 00:00:00,,1992-08-19 00:00:00,0.1,N,N,Surface, , , , , , ,2020-06-01 00:00:00
